"site","job_url","job_url_direct","title","company","location","job_type","date_posted","interval","min_amount","max_amount","currency","is_remote","emails","description","company_url","company_url_direct","company_addresses","company_industry","company_num_employees","company_revenue","company_description","logo_photo_url","banner_photo_url","ceo_name","ceo_photo_url"
"glassdoor","https://www.glassdoor.co.uk/job-listing/j?jl=1009235524644","","Takeaway Delivery Driver","Just Wings Crosby","Liverpool, England","","2024-04-14","hourly",11.0,12.0,"GBP",False,"","Busy takeaway in Crosby looking for enthusiastic people for a delivery driver role

Easy going team and casual dress

Must have own vehicle

Must be available for weekend work

All tips are your own

Pay is between £11 and £12+ per hour more can be made

Store opens from 12 to 10pm every day

Full and Part time positions available

between 15 and 45 hours per week

Job Types: Full-time, Part-time, Permanent

Pay: £11.00-£12.00 per hour

Benefits:

* Casual dress
* Discounted or free food
* Employee discount
* Store discount

Schedule:

* 10 hour shift
* Day shift
* Monday to Friday
* Night shift
* Weekend availability

Supplemental pay types:

* Tips

Ability to commute/relocate:

* Liverpool: reliably commute or plan to relocate before starting work (required)

Experience:

* Delivery driver experience: 1 year (preferred)
* Driving: 1 year (preferred)

Licence/Certification:

* Driving Licence (required)

Work Location: In person","","","","","","","","","","",""
"glassdoor","https://www.glassdoor.co.uk/job-listing/j?jl=1009235474295","","Home Delivery Driver","Iceland","Liverpool, England","","2024-04-14","hourly",12.0,12.0,"GBP",False,"","Our Home Delivery Drivers are ambassadors for our business. In this role you’ll be delivering shopping to customers doors, providing exceptional levels of customer service and connecting directly with our customers as the face of Iceland.
  
  

If you love the open road, have strong interpersonal skills and enjoy working as part of a supportive team, you could make a great Home Delivery Driver.
  
  

We are looking for a real self-starter, someone who enjoys juggling a hectic workload, puts customers first and provides the best service to make a difference, despite the daily challenges you can expect on the road.
  
  

As part of your role as a Home Delivery Driver, you will also have a part to play with the wider store operation. We will need you to lend a hand when it’s needed; so whether that’s jumping on the checkout, or packing out stock, you will need to be a team player and provide our customers with the very best service.
  
  

In return, we offer our Home Delivery Drivers a great rate of pay, as well as many other benefits. You will be supported, and we will train you in all aspects of the operation, ensuring that you reach excellence in your role.
  
  

To apply for our Home Delivery Driver position, you must have a current driving licence (held for at least 3 years and have no more than 6 points) and a winning way with people from all walks of life.
  
  

Shifts can start as early as 6am and finish as late as 11pm.
  
  

Good luck with your application.","https://www.glassdoor.co.uk/Overview/W-EI_IE36390.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.co.uk/job-listing/j?jl=1009235983797","","HGV Class 1 Driver - Weekends","Elite Employment Solutions LTD","Skelmersdale, England","","2024-04-14","hourly",16.0,19.0,"GBP",False,"","We are recruiting HGV Class 1 Drivers for Weekend work at leading logistics company, based in Skelmersdale.


As part of the logistics team, you will be responsible for carrying out a mixture of local and distance work to RCDs across the UK.

**Hours**


Start times:-

* Days Runs - Starting between 0300 - 0800
* Afternoons - Starting between 1300 - 1600
* Nights - Starting between 1800 - 0200
* Weekend Work

**Pay**

* Saturday £16 - £18.50
* Sunday £16.25 - £19.50

**Duties**

* Driving a HGV Class 1 vehicle with Curtainsided Trailers
* Carrying out General Haulage and Trunking work to RDCs across the UK
* Completing a mixture of Local and distance work depending on the run
* No loading or unloading required for this role but you will need to strap and secure the loads
* Completing daily vehicle checks and managing your Driving Hours

**Skills & Experience**

* HGV Class 1 Driving Licence, CPC & Digi Card
* 1 Year HGV Class 1 experience
* No more than 6 points for minor endorsements
* Experience with Curtainsided Trailers and the ability to check and secure loads

**Driving Candidates:**


To apply for this role, call the Recruitment Team on 0151 420 1219 or register with us. Click here to Register","https://www.glassdoor.co.uk/Overview/W-EI_IE1729101.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.co.uk/job-listing/j?jl=1009235952471","","HGV Class 1 Driver","Elite Employment Solutions LTD","Skelmersdale, England","","2024-04-14","hourly",14.0,19.0,"GBP",False,"","We are recruiting HGV Class 1 Drivers for a leading Logistics company based in Skelmersdale.


As part of the logistics team, you will be responsible for general haulage work in a HGV Class 1 vehicle to RCDs across the UK

**Shifts & Hours**

* 7 Day Operation - All Shift Patterns Available
* Start times between 0400 - 1200 and 1600 - 0300
* Some Nights Out Available

**Pay**

* Monday - Friday - £14.75p/h - £17.00p/h
* Saturday £16.00p/h - £18.00p/h
* Sunday £16.75p/h - £19.50

**Duties**

* Driving a HGV Class 1 vehicle with curtainsided Trailers
* Carrying out General Haulage and Trunking work to RDCs across the UK
* Completing a mixture of local and distance work
* No loading or unloading required for this role however you will need to strap and secure the loads.

**Skills & Experience**

* HGV Class 1 Driving Licence, CPC & Digi Card
* 1 Years Class 1 experience
* No more than 6 points for minor endorsements


To apply for this role, call the Recruitment Team on 0151 420 1219 and you can see all of our current vacancies on www.elite-employ.com


**Driving Candidates:** - Click here to Register","https://www.glassdoor.co.uk/Overview/W-EI_IE1729101.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.co.uk/job-listing/j?jl=1009235983798","","HGV Class 1 Driver Containers","Elite Employment Solutions LTD","Knowsley, England","","2024-04-14","hourly",16.0,19.0,"GBP",False,"","We are recruiting for HGV Class 1 Container Drivers for a leading logistics company at their site based in the Knowsley area.


As part of the logistics Team, you will be responsible for completing HGV Class 1 Container work to Ports across the UK.


**Hours & Pay**

* Monday - Friday
* Start Times between 1630 - 1900
* £16 PAYE or £19p/h Umbrella

**Job Role:**

* Driving a HGV Class 1 Vehicle to complete container work across the UK
* Moving Containers to and from ports across the UK
* Making container deliveries to RDC's
* Completing Vehicle checks and paperwork
* Shifts between 10 - 13 Hours depending on the run details

**Skills & Experience**

* HGV Class 1 Driving Licence, CPC & Digi Card
* 12 months HGV Class 1 Driving Experience
* Previous experience of container work is essential for this role and must also have an in date dock card
* No more than 6 points for minor endorsements

**Driving Candidates:**


To apply for this role, call the Recruitment Team on 0151 420 1219 or click the link to register with us. Click here to Register","https://www.glassdoor.co.uk/Overview/W-EI_IE1729101.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.co.uk/job-listing/j?jl=1009235986334","","Food Courier","SHAKE","Liverpool, England","","2024-04-14","hourly",9.0,12.0,"GBP",False,"","SHAKE? are hiring.

(Part time / full time available)

£9.50 guaranteed hourly rate plus petrol per delivery completed

Please get in touch, also mention if you have any previous experience!

Job Type: Part-time

Pay: £9.00-£12.00 per hour

Schedule:

* Monday to Friday
* Weekend availability

Supplemental pay types:

* Tips

Work Location: In person

Reference ID: Maghull delivery driver","","","","","","","","","","",""
"glassdoor","https://www.glassdoor.co.uk/job-listing/j?jl=1009234714852","","Class 1 Driver","DFDS UK & Ireland","Liverpool, England","","2024-04-13","","","","",False,"","Do you want to be a valued part of the critical infrastructure that serves communities across Europe and beyond? Are you looking for a position in which you can keep things moving and deliver when it matters most? If so, then you could be the newest addition to our team as a Class 1 Driver.

**Be part of the movement – and play your part.**

**About the role**


The successful candidate will be responsible for transporting fresh and frozen produce to distribution centres and wholesaler outlets in a timely and safe manner. This role will be working 4 on 4 off out of our depot in Simonswood.


You will be responsible for:


* Safely operate and drive refrigerated trucks to transport perishable goods to various destinations
* Ensure all products are properly loaded, secured and maintained at the appropriate temperature during transit
* Adhere to all traffic laws and regulations while driving
* Communicate effectively with dispatchers, customers and other team members to coordinate delivery schedules and address any issues that may arise.

**About you**


We are looking for an outgoing and flexible individual with a passion for delivering great customer service. You must hold a current HGV Class 1 Licence, CPC and DIGI card with experience in fridge work. Good knowledge of drivers hours regulations will be advantageous.


We think the strongest teams are built on diversity and inclusivity. Contrasting opinions, varied skills and strong characters bring out the best in us all. And we cannot wait for you to join.

**Working at DFDS**


Join the movement and grow with us.


We’ll support you on your journey and create the conditions that make it worthwhile.


We’ll encourage you to challenge yourself, to acquire new skills and attributes. We want you to develop and progress within your career. At DFDS, we believe that development happens first and foremost through activities in the workplace, and we've developed training courses to support you.


Now about what we can give you. You’ll be able to access some fantastic benefits such as:

* Life assurance cover
* Contributory company pension scheme
* Holiday Purchase Scheme
* Free ferry travel for up to 4 guests between Dover and Calais / Newcastle and Amsterdam with no limit on trips
* Full employee assistance programme including:
* Proactive financial, emotional, mental, and physical health care support including face to face counselling, fast 24/7 access to a GP, a second medical opinion and legal support for colleagues and their family.
* Huge range of retail discounts from high street and online retailers
* Cashback on health care including dental, optical, physiotherapy, prescriptions, specialist consultations and much more.
* Access to Thrive, our award-winning Wellbeing platform.
* Access to mental health first aid and opportunity to join support webinars with a focus on all areas of positive wellbeing.

**Are we a match? Then what are you waiting for? Apply now.**


If you think your personality, skills, experience, and desire match this role, we’d love to hear from you. Please send us your CV as soon as possible, as we’re keen to meet potential candidates on an ongoing basis.

**We look forward to hearing from you.**","https://www.glassdoor.co.uk/Overview/W-EI_IE10386.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.co.uk/job-listing/j?jl=1009233873414","","Delivery/Collection Driver","FedEx/Brian Moores","Liverpool, England","","2024-04-12","","","","",False,"","Our company runs a Multi Drop Delivery service on behalf of FedEx from 7 depots across the North East & North West of England

We are planning forward and require one Multi drop Driver based at FedEx Speke, Liverpool.

We supply a Route Optimiser to make your delivery & collection day easier.

It will allow you to input all your collections and deliveries and put them in order for you.

Then just follow Google Maps

We offer two employment setups, PAYE or a Subcontractor.

Both options offer great benefits.

The rewards are:

Minimum £500 per week including Safe and Economical Driving Bonus, 95% of our drivers receive this weekly (calculated with the vehicles telematics).

Travel to Depot Allowance to assist with your travelling expenses.

Drop bonus when delivering over a base number.

Please note:

Please supply a telephone contact number.

Job Types: Full-time, Permanent

Salary starting at £500 plus all the above additional benefits.

Job Types: Full-time, Permanent

Job Types: Full-time, Permanent

Pay: £500.00-£650.00 per week

Benefits:

* Free or subsidised travel

Schedule:

* Monday to Friday

Supplemental pay types:

* Bonus scheme
* Safety bonus

Work Location: In person

Reference ID: Liverpool","","","","","","","","","","",""
"glassdoor","https://www.glassdoor.co.uk/job-listing/j?jl=1009234039512","","Trainee Mainline Driver - Liverpool Street (West Anglia)","Greater Anglia","Liverpool, England","","2024-04-12","yearly",31941.0,31941.0,"GBP",False,"","£31,941
  

**Are you ready for the career change you’ve always dreamed of?**


Greater Anglia operates a busy railway network from London Liverpool Street to destinations across the east of England. We have a high standard of service for our customers throughout their journey experience so they can sit back relax and travel with confidence. Not to mention a whole new set of modernised greener trains, it’s never been a more exciting time to start a career with us. Do you want to be part of the journey? Come along and join Greater Anglia!


Please note: You must live within a reasonable distance to the depot you are applying for.


Train drivers are at the heart of our business, they are integral to the smooth running of our trains and we currently have some exciting opportunities for enthusiastic and highly motivated individuals to join our incredible team as Trainee Mainline Drivers at Liverpool Street (West Anglia).


**The Role**


You will be responsible for driving our state-of-the-art trains in a safe, punctual, and economical manner in accordance with the Rules & Regulations to meet the needs of our customers. You will be required to communicate effectively, and collaborate with other Greater Anglia colleagues, and other railway interfaces to ensure the smooth running of the train service.


This position will require you to work a combination of shifts which includes early starts, late finishes, weekend, and bank holiday working. You will work an average of 35 hours per week, and shifts are over a 24-hour period.


Full uniform will be provided, to ensure that you embrace our values and brand as a business.


**What we are looking for?**


We are looking for a colleague who can work well on their own. You should have the ability to communicate and feel comfortable dealing with both customers and colleagues alike. The successful colleague will be an organised individual with effective concentration skills which is highly required for this role. You will have the willingness to accept the high level of responsibility associated with this role with the ability to work effectively.


**Training & Development**


If you have the right behaviours and attributes, we will provide you the training for you to be an effective part of our community working as a Trainee Mainline Driver, this includes enrolling you onto the Level 3 Driver Apprenticeship. This apprenticeship has fast become the industry standard for new starter drivers and is nationally recognised.


Please note that you will not be able to take annual leave in the first six months of training.


The successful colleague will be required to attend a medical, as all offers are subject to passing a safety critical medical.


The closing date for all completed applications is on Friday 19th April 2024


**\\*Please note vacancies can close earlier due to high influx of candidate applications\\***


To succeed in this role, we are looking for people who can bring our four values to life in your everyday work:


* Genuine … be welcoming, customer-centric and respectful


* Professional… be solution-oriented, accountable and delivering to promises


* Proactive … be progressive, innovative and decisive


* Inclusive … be connected in your thinking, empathetic and promote diversity


Greater Anglia offer a healthy work life balance, holiday entitlement and an environment where you can learn, develop, and grow in your career. If you think you would be a great addition to GA then apply now!


**What can we do for you?**


* Defined Contribution pension scheme after 2 years option to move across to Defined Benefit (Final Salary) pension scheme
* Free Travel on GA and 75% discount on other TOCs for leisure travel
* Free Leisure travel on GA and 75% discount on other TOCS for eligible family members
* International travel discount card (FIP) for staff and eligible family members after 12 months service
* GA offers maternity, paternity and adoption leave and time off for prenatal care, as well as shared parental leave after 26 weeks of service - part of our commitment to family friendly policies
* GA Hapi Benefits App– our great benefits app which includes discounts across many retailers, days out and dining
* 24/7 Employee assistance programme, eyecare and flu jab vouchers and access to physiotherapy services
* Annually issued 12 discount vouchers for family and friends to use
* Salary Sacrifice schemes such as Cycle to work and Technology scheme (eligible once passing probation)","https://www.glassdoor.co.uk/Overview/W-EI_IE805205.htm","","","","","","","","","",""
"glassdoor","https://www.glassdoor.co.uk/job-listing/j?jl=1009233688921","","Cpc Shuttle Bus Driver","Compass Group","Whiston, East Midlands, England","","2024-04-12","hourly",11.0,11.0,"GBP",False,"","Are you looking for a new challenge? For a rewarding job where you have the opportunity to make a real difference? Would you like to contribute to the greater good of the healthcare field? If so then we would love to hear from you!


A new opportunity has arisen for a Hospital Porter to join the Medirest Family. We are looking for a new member to join our highly dedicated Hospital Porter team, who deliver outstanding customer services for patients, visitors and healthcare staff.


As a Porter, you will play a vital role in keeping the hospital operating and doing what it does best. Without the Porters the hospital wouldn't be able to deliver its lifechanging medical services. Believe us when we say, this isn't just any job, this is a job which makes a real difference.


We ensure you're rewarded for all your hard work, which is why we offer a comprehensive benefits package which includes but is not limited to:* All team members eligible are entitled to up to 20% discount at their place of work. Team members are able to take advantage of this discount at the following retail brands operated by Compass Group: Costa, Deli Marche, Amigo and Baguette Co, to name a few.
* Exclusive travel discounts with TUI, Expedia, Booking.com and many more
* Save money on your food shop with discounts on Tesco, Sainsbury's, Morrisons and many more
* Quick access for you and your immediate family to a Digital GP, and wider healthcare benefits
* Up to 44% off cinema tickets to enjoy your favourite blockbuster
* Regular emails filled with the best discounts and savings available
* Receive Wow Points every time you spend and use them on a wide range of brands
* Un-wind with us with free wellness, mindfulness and exercise classes
* You can share all discounts and offers with your friends and families
* Contributory pension scheme
* Grow your career with our Career Pathways and MyLearning programmes


Key responsibilities:

* Transporting patients throughout the hospital; ensuring response times and standards are maintained throughout.
* Delivering medical gas cylinders, equipment, stores, furniture, pharmaceutical and pathology items.
* Taking blood samples, specimens and medication around the hospital in a timely and pleasant manner.
* To take linen, case notes and the removal and disposal of waste.
* Transporting the deceased to the mortuary.
* Receive, record and prioritise job requests in line with agreed procedures.
* Support medical staff during emergency situations.
* Passionate about patient care, with the ability to communicate effectively with patients, visitors and healthcare staff.
* Able to work under pressure, individually and as part of a team with a flexible approach to meet the needs of the business.
* Confident working in a hospital environment and aware at times you will come in contact with patients that are particularly unwell or showing signs of distress.
* It doesn't matter if you've never worked as a Porter before. What does matter to us the most, is taking pride in what you do with a willingness to learn and go the extra mile for our patients.
* This position is subject to a Disclosure & Barring Service check; costs met by the employer.


Part of Compass Group UK&I, Medirest is the specialist healthcare operating company of Compass Group UK & Ireland, providing a full range of hotel services, including staff, patient and visitor catering, domestics, portering, security and reception, at over 130 NHS Trusts and private hospitals.


Job Reference: com/1104/71996010/52623642/R/ONEWJ


Compass Group UK&I wants everyone in our business to feel able to be themselves at work and to have an equal opportunity to progress their career. We want to create a culture where we respect and embrace everyone's talents, beliefs, backgrounds, and abilities. Where our colleagues feel valued, can reach their full potential, and thrive - Diversity is Our Strength!","https://www.glassdoor.co.uk/Overview/W-EI_IE10832.htm","","","","","","","","","",""
